squirrel_id,latitude,longitude,year,month,day
19E-PM-1018-01,40.780390919948,-73.9669814346326,2018,10,18
8D-AM-1007-07,40.7728284025195,-73.9745953710328,2018,10,7
19F-PM-1017-03,40.7798863522904,-73.9654397484763,2018,10,17
14F-AM-1007-06,40.776062004359,-73.9689627791,2018,10,7
14A-PM-1014-06,40.7783823311296,-73.973305698325,2018,10,14
21G-PM-1007-04,40.780992836417,-73.9634563222926,2018,10,7
32D-PM-1006-03,40.7910635810038,-73.9602913105578,2018,10,6
4C-PM-1010-15,40.7697607308033,-73.9776044578446,2018,10,10
17D-AM-1008-02,40.7797878809482,-73.9695041366722,2018,10,8
8B-AM-1007-01,40.7737004557104,-73.9764397550289,2018,10,7
14D-AM-1014-11,40.776758371867,-73.9714921188372,2018,10,14
9F-PM-1014-05,40.7721434941226,-73.971379936565,2018,10,14
20F-AM-1014-01,40.7809990098597,-73.9660110060416,2018,10,14
10F-PM-1019-06,40.7724278547281,-73.9711176999471,2018,10,19
4H-AM-1006-02,40.7669101832926,-73.9725712588741,2018,10,6
33F-PM-1012-06,40.7914073632782,-73.9583477850634,2018,10,12
3B-PM-1007-10,40.7686791169776,-73.9790214253443,2018,10,7
2E-PM-1014-02,40.7674012784541,-73.9767016963397,2018,10,14
36F-AM-1017-04,40.7937382705056,-73.9565035705619,2018,10,17
16G-AM-1010-02,40.7772236833816,-73.9671640520938,2018,10,10
3F-PM-1013-03,40.7672531319384,-73.9756603846107,2018,10,13
15D-AM-1007-07,40.7774389345748,-73.9699672074164,2018,10,7
9A-PM-1010-03,40.7741877060705,-73.9768617690725,2018,10,10
4C-AM-1006-02,40.7696506688861,-73.9773079154219,2018,10,6
12E-AM-1017-08,40.775032271482,-73.9703621616472,2018,10,17
18A-AM-1012-02,40.7810842503715,-73.9718234159557,2018,10,12
8C-PM-1013-07,40.7723417173451,-73.975062146111,2018,10,13
23B-PM-1012-02,40.7846973096665,-73.9679291347956,2018,10,12
6B-PM-1017-06,40.7717866237826,-73.9767455430709,2018,10,17
23B-PM-1012-05,40.7847629473258,-73.96797780019,2018,10,12
20F-AM-1014-02,40.7805366922231,-73.9655734633649,2018,10,14
11D-AM-1010-01,40.7743256716496,-73.9729394928432,2018,10,10
9B-AM-1010-01,40.773784724458,-73.976521916284,2018,10,10
33E-PM-1012-07,40.7913241048498,-73.9584188461059,2018,10,12
31H-PM-1008-01,40.7883417969746,-73.9566189145352,2018,10,8
31E-PM-1006-01,40.7899242643847,-73.9595757792683,2018,10,6
14F-PM-1012-02,40.775770422667,-73.9686816795392,2018,10,12
10C-PM-1013-02,40.7742043234014,-73.9745305540008,2018,10,13
22C-PM-1006-06,40.7835947167436,-73.9675472064204,2018,10,6
35G-AM-1007-01,40.7923188156277,-73.955516031113,2018,10,7
16C-PM-1018-01,40.7794279914209,-73.9710559113762,2018,10,18
22F-PM-1014-03,40.7823262369074,-73.9649658099293,2018,10,14
36I-AM-1017-03,40.7927644594513,-73.953296595236,2018,10,17
2I-PM-1006-02,40.7658376729234,-73.9725157534356,2018,10,6
12G-AM-1012-01,40.7742856696093,-73.9687476703117,2018,10,12
25A-PM-1007-01,40.7872554700995,-73.9675023138703,2018,10,7
9C-PM-1006-06,40.77333038538,-73.9745040517502,2018,10,6
6B-PM-1017-03,40.7709428872533,-73.9772635911119,2018,10,17
10D-AM-1008-05,40.7741018274312,-73.9730115687964,2018,10,8
41A-PM-1007-05,40.7996897499473,-73.9582523503306,2018,10,7
13E-AM-1017-12,40.7759229213762,-73.9706641770728,2018,10,17
15E-AM-1013-02,40.7770429650288,-73.969345754447,2018,10,13
1B-AM-1012-17,40.7678702158382,-73.980854228628,2018,10,12
36I-PM-1007-06,40.7920963446605,-73.9529413156461,2018,10,7
15F-AM-1007-08,40.7773070675393,-73.9682144039334,2018,10,7
41A-AM-1013-01,40.7995008636057,-73.958494212554,2018,10,13
8I-PM-1013-09,40.7700677022205,-73.9697983725608,2018,10,13
19B-AM-1019-01,40.7814068507607,-73.9697196619878,2018,10,19
3D-PM-1010-10,40.7682059907903,-73.9777259022441,2018,10,10
15C-PM-1017-02,40.778553537087,-73.9716881838671,2018,10,17
32A-PM-1013-09,40.7922155082679,-73.9633250636501,2018,10,13
15G-AM-1008-05,40.7764595360054,-73.967418114684,2018,10,8
4D-PM-1008-01,40.7694125671679,-73.9758959798289,2018,10,8
36A-PM-1013-06,40.7954687648248,-73.9607608482656,2018,10,13
8C-PM-1013-02,40.7733043910649,-73.9753283783695,2018,10,13
6A-AM-1006-07,40.7721127748427,-73.9785300509908,2018,10,6
41E-AM-1007-01,40.7979409854977,-73.9540022445432,2018,10,7
31D-AM-1014-06,40.7906686504657,-73.9608757424052,2018,10,14
3A-AM-1012-03,40.769557595068,-73.9801902133148,2018,10,12
39F-AM-1014-04,40.7956567934304,-73.954595058342,2018,10,14
37F-PM-1014-02,40.7939505791448,-73.9557263533489,2018,10,14
21A-AM-1019-08,40.7836929044459,-73.97002473509,2018,10,19
16C-AM-1014-02,40.7786888942214,-73.9711801122578,2018,10,14
31E-PM-1006-03,40.7899599350145,-73.9595645962539,2018,10,6
36D-PM-1007-02,40.7944502501428,-73.9587712679442,2018,10,7
23B-PM-1012-01,40.784594234984,-73.9676206022477,2018,10,12
14D-AM-1014-09,40.7771670550089,-73.9707900566519,2018,10,14
35G-PM-1006-01,40.7921125657722,-73.9557172336815,2018,10,6
35A-PM-1013-08,40.7945662185621,-73.9615602805554,2018,10,13
39A-PM-1014-01,40.7976165434502,-73.9598084794625,2018,10,14
9C-PM-1006-05,40.773313866931,-73.9746933852572,2018,10,6
17I-AM-1014-04,40.7772566833799,-73.9645147011741,2018,10,14
14D-AM-1014-12,40.7767916587915,-73.9714089647431,2018,10,14
17I-PM-1017-01,40.7774792520738,-73.9642379942652,2018,10,17
39B-PM-1014-01,40.7978975855555,-73.9582850206205,2018,10,14
42A-AM-1019-01,40.8000460061272,-73.9582643954055,2018,10,19
2E-AM-1010-01,40.7668431485224,-73.9771335416403,2018,10,10
14F-AM-1007-02,40.7763366309154,-73.9692190295442,2018,10,7
36I-AM-1017-04,40.7923843043685,-73.9528462779437,2018,10,17
34B-AM-1013-03,40.7938786854735,-73.9609704650925,2018,10,13
36I-AM-1017-07,40.7921084224711,-73.9534509627885,2018,10,17
2A-PM-1019-01,40.7689408831287,-73.9808247660048,2018,10,19
35D-PM-1013-07,40.7937602121568,-73.9591667162801,2018,10,13
